english,spanish_sentence,POS,CEFR,family_size,frequency,english_example
build,Construir el entregable requiere recursos,VERB,B1,5,4411,Build deliverable requires resources
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,1,2104,Brainstorm identified risks
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,3,2093,Time buffer saved schedule
backlog,El backlog del sprint está priorizado,NOUN,B2,2,2428,Sprint backlog prioritized
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,1,1907,Burn rate becoming critical
baseline,La línea base del proyecto fue aprobada,NOUN,B2,3,2940,Project baseline approved
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,2,2255,Time buffer saved schedule
benchmark,El benchmark establece estándares,NOUN,B2,1,1872,Benchmark sets standards
bulletin,El boletín informa cambios del proyecto,NOUN,B2,1,1336,Bulletin informs project changes
big picture,La visión general guía decisiones,NOUN,B2,3,2488,Big picture guides decisions
backlog,El backlog del sprint está priorizado,NOUN,B2,2,2304,Sprint backlog prioritized
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,3,1881,Burn rate becoming critical
business analysis,El análisis de negocio define requisitos,NOUN,B2,5,2966,Business analysis defines requirements
business objective,El objetivo de negocio mide éxito,NOUN,B2,3,2300,Business objective measures success
business process,El proceso de negocio se optimizó,NOUN,B2,4,3514,Business process optimized
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,3830,Business requirement changed scope
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,2,2833,Bottleneck delayed deliverable
business continuity,La continuidad del negocio es prioridad,NOUN,C1,4,1851,Business continuity is priority
business requirement,El requisito de negocio cambió alcance,NOUN,B2,6,2747,Business requirement changed scope
business continuity,La continuidad del negocio es prioridad,NOUN,C1,4,1721,Business continuity is priority
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,3,2123,Time buffer saved schedule
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,3,1082,Burn-down chart shows progress
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,3,2282,Brainstorm identified risks
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,1,2064,Burn rate becoming critical
big picture,La visión general guía decisiones,NOUN,B2,4,2471,Big picture guides decisions
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,4,3836,Business need drives project
bid,La oferta fue presentada a tiempo,NOUN,B2,4,2021,Bid submitted on time
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,3851,Business requirement changed scope
build,Construir el entregable requiere recursos,VERB,B1,4,4333,Build deliverable requires resources
business impact,El impacto del negocio justifica inversión,NOUN,B2,2,2511,Business impact justifies investment
blocker,El bloqueador impide el progreso,NOUN,B2,3,1689,Blocker preventing progress
business impact,El impacto del negocio justifica inversión,NOUN,B2,3,2353,Business impact justifies investment
business analysis,El análisis de negocio define requisitos,NOUN,B2,3,2963,Business analysis defines requirements
business continuity,La continuidad del negocio es prioridad,NOUN,C1,3,1780,Business continuity is priority
bulletin,El boletín informa cambios del proyecto,NOUN,B2,1,1388,Bulletin informs project changes
build,Construir el entregable requiere recursos,VERB,B1,3,4431,Build deliverable requires resources
business process,El proceso de negocio se optimizó,NOUN,B2,5,3503,Business process optimized
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,3,2163,Brainstorm identified risks
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,2,2813,Bottleneck delayed deliverable
briefing,El briefing del proyecto fue claro,NOUN,B2,2,2843,Project briefing was clear
benefit,Los beneficios del proyecto superan costos,NOUN,B1,4,4419,Project benefits exceed costs
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,1,2298,Time buffer saved schedule
breakdown,La descomposición de tareas se completó,NOUN,B2,2,3460,Work breakdown completed
benchmark,El benchmark establece estándares,NOUN,B2,3,1831,Benchmark sets standards
business process,El proceso de negocio se optimizó,NOUN,B2,3,3625,Business process optimized
business justification,La justificación del negocio es sólida,NOUN,C1,3,1034,Business justification is solid
business requirement,El requisito de negocio cambió alcance,NOUN,B2,4,2911,Business requirement changed scope
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,3,3031,Best practices improve efficiency
benchmark,El benchmark establece estándares,NOUN,B2,2,1958,Benchmark sets standards
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,3927,Business requirement changed scope
business process,El proceso de negocio se optimizó,NOUN,B2,3,3408,Business process optimized
budget,El presupuesto del proyecto se excedió,NOUN,B1,4,4697,Project budget exceeded
bottom-up,La estimación bottom-up es detallada,ADJ,C1,3,959,Bottom-up estimation detailed
briefing,El briefing del proyecto fue claro,NOUN,B2,1,2943,Project briefing was clear
bring forward,Se adelantó la reunión crítica,VERB,B2,2,1545,Critical meeting brought forward
breakdown,La descomposición de tareas se completó,NOUN,B2,3,3570,Work breakdown completed
big picture,La visión general guía decisiones,NOUN,B2,4,2496,Big picture guides decisions
budget,El presupuesto del proyecto se excedió,NOUN,B1,6,4718,Project budget exceeded
business value,El valor de negocio justifica costos,NOUN,B2,4,4353,Business value justifies costs
bring forward,Se adelantó la reunión crítica,VERB,B2,4,1637,Critical meeting brought forward
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,2,1910,Burn rate becoming critical
business value,El valor de negocio justifica costos,NOUN,B2,3,4348,Business value justifies costs
business justification,La justificación del negocio es sólida,NOUN,C1,3,1026,Business justification is solid
budget,El presupuesto del proyecto se excedió,NOUN,B1,4,4626,Project budget exceeded
blocker,El bloqueador impide el progreso,NOUN,B2,1,1604,Blocker preventing progress
build,Construir el entregable requiere recursos,VERB,B1,3,4321,Build deliverable requires resources
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,2,2887,Bottleneck delayed deliverable
business impact,El impacto del negocio justifica inversión,NOUN,B2,4,2499,Business impact justifies investment
baseline,La línea base del proyecto fue aprobada,NOUN,B2,4,2829,Project baseline approved
bring forward,Se adelantó la reunión crítica,VERB,B2,2,1682,Critical meeting brought forward
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,3,4018,Business need drives project
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,4,1049,Burn-down chart shows progress
build,Construir el entregable requiere recursos,VERB,B1,5,4502,Build deliverable requires resources
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,2,1635,Brainstorming generated solutions
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,2,2748,Bottleneck delayed deliverable
business requirement,El requisito de negocio cambió alcance,NOUN,B2,5,2806,Business requirement changed scope
blocker,El bloqueador impide el progreso,NOUN,B2,1,1698,Blocker preventing progress
budget,El presupuesto del proyecto se excedió,NOUN,B1,5,4588,Project budget exceeded
briefing,El briefing del proyecto fue claro,NOUN,B2,2,2753,Project briefing was clear
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,5,3979,Business requirement changed scope
business process,El proceso de negocio se optimizó,NOUN,B2,5,3655,Business process optimized
business value,El valor de negocio justifica costos,NOUN,B2,4,4432,Business value justifies costs
briefing,El briefing del proyecto fue claro,NOUN,B2,1,2896,Project briefing was clear
briefing,El briefing del proyecto fue claro,NOUN,B2,1,2832,Project briefing was clear
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,3828,Business requirement changed scope
build,Construir el entregable requiere recursos,VERB,B1,5,4393,Build deliverable requires resources
business analysis,El análisis de negocio define requisitos,NOUN,B2,5,2986,Business analysis defines requirements
business justification,La justificación del negocio es sólida,NOUN,C1,4,837,Business justification is solid
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,3,1376,Balanced scorecard tracks KPIs
breakdown,La descomposición de tareas se completó,NOUN,B2,4,3459,Work breakdown completed
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,3,4061,Business need drives project
backlog,El backlog del sprint está priorizado,NOUN,B2,3,2427,Sprint backlog prioritized
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,1,2280,Time buffer saved schedule
business objective,El objetivo de negocio mide éxito,NOUN,B2,5,2280,Business objective measures success
bring forward,Se adelantó la reunión crítica,VERB,B2,4,1549,Critical meeting brought forward
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,3,1081,Burn-down chart shows progress
business objective,El objetivo de negocio mide éxito,NOUN,B2,5,2170,Business objective measures success
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,1,2105,Brainstorm identified risks
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,1,1754,Brainstorming generated solutions
baseline,La línea base del proyecto fue aprobada,NOUN,B2,3,3032,Project baseline approved
build,Construir el entregable requiere recursos,VERB,B1,5,4499,Build deliverable requires resources
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,3,2799,Bottleneck delayed deliverable
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,4,3078,Best practices improve efficiency
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,3,2780,Bottleneck delayed deliverable
business case,El caso de negocio justificó la inversión,NOUN,B2,5,3011,Business case justified investment
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,2,3115,Best practices improve efficiency
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,2,2817,Bottleneck delayed deliverable
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,1,2224,Brainstorm identified risks
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,4,4017,Business need drives project
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,2,1162,Burn-down chart shows progress
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,3,2096,Time buffer saved schedule
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,3,1875,Burn rate becoming critical
business continuity,La continuidad del negocio es prioridad,NOUN,C1,3,1701,Business continuity is priority
blocker,El bloqueador impide el progreso,NOUN,B2,3,1685,Blocker preventing progress
budget,El presupuesto del proyecto se excedió,NOUN,B1,5,4546,Project budget exceeded
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,4,3904,Business need drives project
bulletin,El boletín informa cambios del proyecto,NOUN,B2,2,1274,Bulletin informs project changes
big picture,La visión general guía decisiones,NOUN,B2,3,2473,Big picture guides decisions
bring forward,Se adelantó la reunión crítica,VERB,B2,4,1683,Critical meeting brought forward
benefit,Los beneficios del proyecto superan costos,NOUN,B1,3,4496,Project benefits exceed costs
business value,El valor de negocio justifica costos,NOUN,B2,3,4322,Business value justifies costs
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,2,4074,Business need drives project
bottom-up,La estimación bottom-up es detallada,ADJ,C1,2,1102,Bottom-up estimation detailed
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,4,4050,Business need drives project
benchmark,El benchmark establece estándares,NOUN,B2,3,2041,Benchmark sets standards
business value,El valor de negocio justifica costos,NOUN,B2,3,4349,Business value justifies costs
business case,El caso de negocio justificó la inversión,NOUN,B2,5,2966,Business case justified investment
business process,El proceso de negocio se optimizó,NOUN,B2,4,3652,Business process optimized
breakdown,La descomposición de tareas se completó,NOUN,B2,4,3511,Work breakdown completed
benchmark,El benchmark establece estándares,NOUN,B2,1,1876,Benchmark sets standards
business justification,La justificación del negocio es sólida,NOUN,C1,5,906,Business justification is solid
briefing,El briefing del proyecto fue claro,NOUN,B2,1,2847,Project briefing was clear
business value,El valor de negocio justifica costos,NOUN,B2,4,4299,Business value justifies costs
business objective,El objetivo de negocio mide éxito,NOUN,B2,3,2190,Business objective measures success
big picture,La visión general guía decisiones,NOUN,B2,4,2432,Big picture guides decisions
business analysis,El análisis de negocio define requisitos,NOUN,B2,3,3120,Business analysis defines requirements
business process,El proceso de negocio se optimizó,NOUN,B2,4,3550,Business process optimized
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,3,3899,Business need drives project
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,2,953,Burn-down chart shows progress
benefit,Los beneficios del proyecto superan costos,NOUN,B1,5,4354,Project benefits exceed costs
business objective,El objetivo de negocio mide éxito,NOUN,B2,3,2274,Business objective measures success
business case,El caso de negocio justificó la inversión,NOUN,B2,5,3005,Business case justified investment
business objective,El objetivo de negocio mide éxito,NOUN,B2,4,2092,Business objective measures success
big picture,La visión general guía decisiones,NOUN,B2,4,2300,Big picture guides decisions
bottleneck,El cuello de botella retrasó el entregable,NOUN,B2,2,2767,Bottleneck delayed deliverable
business objective,El objetivo de negocio mide éxito,NOUN,B2,5,2252,Business objective measures success
budget,El presupuesto del proyecto se excedió,NOUN,B1,6,4721,Project budget exceeded
business requirement,El requisito de negocio cambió alcance,NOUN,B2,6,2840,Business requirement changed scope
business case,El caso de negocio justificó la inversión,NOUN,B2,3,3171,Business case justified investment
benchmark,El benchmark establece estándares,NOUN,B2,1,1868,Benchmark sets standards
business analysis,El análisis de negocio define requisitos,NOUN,B2,4,3176,Business analysis defines requirements
bid,La oferta fue presentada a tiempo,NOUN,B2,3,2139,Bid submitted on time
blocker,El bloqueador impide el progreso,NOUN,B2,1,1718,Blocker preventing progress
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,3,3936,Business need drives project
business impact,El impacto del negocio justifica inversión,NOUN,B2,2,2543,Business impact justifies investment
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,3,2209,Brainstorm identified risks
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,3,3119,Best practices improve efficiency
big picture,La visión general guía decisiones,NOUN,B2,3,2374,Big picture guides decisions
breakdown,La descomposición de tareas se completó,NOUN,B2,2,3500,Work breakdown completed
business requirement,El requisito de negocio cambió alcance,NOUN,B2,5,2917,Business requirement changed scope
bid,La oferta fue presentada a tiempo,NOUN,B2,3,2054,Bid submitted on time
backlog,El backlog del sprint está priorizado,NOUN,B2,4,2438,Sprint backlog prioritized
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,2,1611,Brainstorming generated solutions
benchmark,El benchmark establece estándares,NOUN,B2,3,1957,Benchmark sets standards
business requirement,El requisito de negocio cambió alcance,NOUN,B2,4,2818,Business requirement changed scope
business continuity,La continuidad del negocio es prioridad,NOUN,C1,4,1735,Business continuity is priority
bring forward,Se adelantó la reunión crítica,VERB,B2,4,1676,Critical meeting brought forward
business analysis,El análisis de negocio define requisitos,NOUN,B2,3,2961,Business analysis defines requirements
business impact,El impacto del negocio justifica inversión,NOUN,B2,3,2489,Business impact justifies investment
benefit,Los beneficios del proyecto superan costos,NOUN,B1,3,4366,Project benefits exceed costs
bring forward,Se adelantó la reunión crítica,VERB,B2,3,1687,Critical meeting brought forward
backlog,El backlog del sprint está priorizado,NOUN,B2,2,2449,Sprint backlog prioritized
business case,El caso de negocio justificó la inversión,NOUN,B2,3,3029,Business case justified investment
business objective,El objetivo de negocio mide éxito,NOUN,B2,5,2218,Business objective measures success
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,1,2236,Time buffer saved schedule
briefing,El briefing del proyecto fue claro,NOUN,B2,2,2775,Project briefing was clear
backlog,El backlog del sprint está priorizado,NOUN,B2,3,2416,Sprint backlog prioritized
business continuity,La continuidad del negocio es prioridad,NOUN,C1,5,1654,Business continuity is priority
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,3,1330,Balanced scorecard tracks KPIs
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,3,3846,Business need drives project
benefit,Los beneficios del proyecto superan costos,NOUN,B1,4,4275,Project benefits exceed costs
bring forward,Se adelantó la reunión crítica,VERB,B2,2,1702,Critical meeting brought forward
business impact,El impacto del negocio justifica inversión,NOUN,B2,2,2386,Business impact justifies investment
budget,El presupuesto del proyecto se excedió,NOUN,B1,5,4686,Project budget exceeded
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,3,1664,Brainstorming generated solutions
business objective,El objetivo de negocio mide éxito,NOUN,B2,3,2080,Business objective measures success
blocker,El bloqueador impide el progreso,NOUN,B2,3,1752,Blocker preventing progress
burn-down chart,El gráfico burn-down muestra progreso,NOUN,C1,3,1006,Burn-down chart shows progress
benchmark,El benchmark establece estándares,NOUN,B2,2,1826,Benchmark sets standards
bid,La oferta fue presentada a tiempo,NOUN,B2,2,2069,Bid submitted on time
budget,El presupuesto del proyecto se excedió,NOUN,B1,5,4749,Project budget exceeded
budget,El presupuesto del proyecto se excedió,NOUN,B1,4,4528,Project budget exceeded
business value,El valor de negocio justifica costos,NOUN,B2,3,4360,Business value justifies costs
business requirement,El requisito de negocio cambió alcance,NOUN,B2,5,2760,Business requirement changed scope
business continuity,La continuidad del negocio es prioridad,NOUN,C1,3,1637,Business continuity is priority
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,1,1780,Brainstorming generated solutions
business case,El caso de negocio justificó la inversión,NOUN,B2,3,3014,Business case justified investment
business continuity,La continuidad del negocio es prioridad,NOUN,C1,4,1821,Business continuity is priority
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,2,1648,Brainstorming generated solutions
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,3980,Business requirement changed scope
briefing,El briefing del proyecto fue claro,NOUN,B2,1,2787,Project briefing was clear
big picture,La visión general guía decisiones,NOUN,B2,3,2320,Big picture guides decisions
baseline,La línea base del proyecto fue aprobada,NOUN,B2,4,3074,Project baseline approved
buffer,El buffer de tiempo salvó el cronograma,NOUN,B2,1,2105,Time buffer saved schedule
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,4,3057,Best practices improve efficiency
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,1,2272,Brainstorm identified risks
bulletin,El boletín informa cambios del proyecto,NOUN,B2,3,1422,Bulletin informs project changes
business analysis,El análisis de negocio define requisitos,NOUN,B2,4,2992,Business analysis defines requirements
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,3,1697,Brainstorming generated solutions
budget,El presupuesto del proyecto se excedió,NOUN,B1,5,4623,Project budget exceeded
business requirement,El requisito de negocio cambió alcance,NOUN,B2,4,2777,Business requirement changed scope
business justification,La justificación del negocio es sólida,NOUN,C1,3,873,Business justification is solid
breakdown,La descomposición de tareas se completó,NOUN,B2,2,3466,Work breakdown completed
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,3,1684,Brainstorming generated solutions
brainstorm,Lluvia de ideas identificó riesgos,VERB,B2,2,2084,Brainstorm identified risks
bulletin,El boletín informa cambios del proyecto,NOUN,B2,1,1219,Bulletin informs project changes
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,2,1184,Balanced scorecard tracks KPIs
build,Construir el entregable requiere recursos,VERB,B1,4,4278,Build deliverable requires resources
baseline,La línea base del proyecto fue aprobada,NOUN,B2,3,2938,Project baseline approved
bottom-up,La estimación bottom-up es detallada,ADJ,C1,2,1035,Bottom-up estimation detailed
business analysis,El análisis de negocio define requisitos,NOUN,B2,4,3116,Business analysis defines requirements
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,2,1810,Brainstorming generated solutions
blocker,El bloqueador impide el progreso,NOUN,B2,2,1650,Blocker preventing progress
business analysis,El análisis de negocio define requisitos,NOUN,B2,4,3063,Business analysis defines requirements
business process,El proceso de negocio se optimizó,NOUN,B2,5,3461,Business process optimized
budget,El presupuesto del proyecto se excedió,NOUN,B1,4,4730,Project budget exceeded
bulletin,El boletín informa cambios del proyecto,NOUN,B2,3,1197,Bulletin informs project changes
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,2,3154,Best practices improve efficiency
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,3,1853,Burn rate becoming critical
business continuity,La continuidad del negocio es prioridad,NOUN,C1,4,1818,Business continuity is priority
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,2,1261,Balanced scorecard tracks KPIs
big picture,La visión general guía decisiones,NOUN,B2,2,2510,Big picture guides decisions
benchmark,El benchmark establece estándares,NOUN,B2,3,1955,Benchmark sets standards
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,3,1934,Burn rate becoming critical
build,Construir el entregable requiere recursos,VERB,B1,3,4424,Build deliverable requires resources
build,Construir el entregable requiere recursos,VERB,B1,5,4284,Build deliverable requires resources
blocker,El bloqueador impide el progreso,NOUN,B2,3,1790,Blocker preventing progress
business process,El proceso de negocio se optimizó,NOUN,B2,5,3461,Business process optimized
business need,La necesidad del negocio impulsa el proyecto,NOUN,B2,3,3940,Business need drives project
balanced scorecard,El balanced scorecard mide KPIs,NOUN,C1,3,1190,Balanced scorecard tracks KPIs
benchmark,El benchmark establece estándares,NOUN,B2,3,1828,Benchmark sets standards
business impact,El impacto del negocio justifica inversión,NOUN,B2,4,2405,Business impact justifies investment
bulletin,El boletín informa cambios del proyecto,NOUN,B2,2,1334,Bulletin informs project changes
business objective,El objetivo de negocio mide éxito,NOUN,B2,4,2296,Business objective measures success
bottom-up,La estimación bottom-up es detallada,ADJ,C1,1,1043,Bottom-up estimation detailed
business objective,El objetivo de negocio mide éxito,NOUN,B2,3,2297,Business objective measures success
best practice,Las mejores prácticas mejoran eficiencia,NOUN,B2,3,3173,Best practices improve efficiency
business impact,El impacto del negocio justifica inversión,NOUN,B2,4,2312,Business impact justifies investment
business requirement,El requisito de negocio cambió el alcance,NOUN,B2,6,4075,Business requirement changed scope
business requirement,El requisito de negocio cambió alcance,NOUN,B2,6,2752,Business requirement changed scope
baseline,La línea base del proyecto fue aprobada,NOUN,B2,5,3052,Project baseline approved
brainstorming,La sesión de lluvia de ideas generó soluciones,NOUN,B2,1,1718,Brainstorming generated solutions
build,Construir el entregable requiere recursos,VERB,B1,4,4285,Build deliverable requires resources
business objective,El objetivo de negocio mide éxito,NOUN,B2,5,2250,Business objective measures success
baseline,La línea base del proyecto fue aprobada,NOUN,B2,3,3042,Project baseline approved
blocker,El bloqueador impide el progreso,NOUN,B2,3,1722,Blocker preventing progress
burn rate,La tasa de quema de fondos es crítica,NOUN,C1,2,2054,Burn rate becoming critical
bulletin,El boletín informa cambios del proyecto,NOUN,B2,1,1211,Bulletin informs project changes
bring forward,Se adelantó la reunión crítica,VERB,B2,3,1694,Critical meeting brought forward
backlog,El backlog del sprint está priorizado,NOUN,B2,3,2333,Sprint backlog prioritized
bid,La oferta fue presentada a tiempo,NOUN,B2,2,2121,Bid submitted on time
benefit,Los beneficios del proyecto superan costos,NOUN,B1,3,4287,Project benefits exceed costs
benefit,Los beneficios del proyecto superan costos,NOUN,B1,3,4501,Project benefits exceed costs
business case,El caso de negocio justificó la inversión,NOUN,B2,3,3022,Business case justified investment